,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
18,1,2022-06-01 00:34:15,2022-06-01 00:48:15,1,3.8,1,N,158,33,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5,0
19,2,2022-06-01 00:16:26,2022-06-01 00:32:47,1,3.7,1,N,164,226,2,15,0.5,0.5,0,0,0.3,18.8,2.5,0
20,1,2022-06-01 00:09:50,2022-06-01 00:15:21,1,1.1,1,N,162,142,3,6,3,0.5,0,0,0.3,9.8,2.5,0
21,1,2022-06-01 00:22:46,2022-06-01 00:28:24,2,1.6,1,N,48,246,1,7,3,0.5,2.15,0,0.3,12.95,2.5,0
22,1,2022-06-01 00:52:08,2022-06-01 01:20:07,4,16.4,1,N,132,256,2,45,1.75,0.5,0,0,0.3,47.55,0,1.25
23,1,2022-06-01 00:16:30,2022-06-01 01:18:53,1,18.5,1,N,132,37,1,60.5,1.75,0.5,2.08,0,0.3,65.13,0,1.25
24,2,2022-06-01 00:25:40,2022-06-01 00:43:57,1,8.1,1,N,138,256,1,24.5,0.5,0.5,5.16,0,0.3,32.21,0,1.25
25,2,2022-06-01 00:27:16,2022-06-01 00:41:55,1,5.93,1,N,87,141,1,19,0.5,0.5,2,0,0.3,24.8,2.5,0
26,2,2022-06-01 00:36:56,2022-06-01 00:37:03,3,0,5,N,162,162,1,71,0,0.5,14.86,0,0.3,89.16,2.5,0
27,2,2022-06-01 00:44:46,2022-06-01 00:53:38,1,1.97,1,N,163,137,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5,0
28,2,2022-06-01 00:17:05,2022-06-01 00:35:26,3,9.03,1,N,132,39,1,26.5,0.5,0.5,0,0,0.3,27.8,0,0
29,2,2022-06-01 00:21:00,2022-06-01 00:59:50,3,18.18,2,N,132,230,1,52,0,0.5,12.37,6.55,0.3,75.47,2.5,1.25
30,2,2022-06-01 00:20:50,2022-06-01 00:26:08,1,1.89,1,N,48,249,4,-7.5,-0.5,-0.5,0,0,-0.3,-11.3,-2.5,0
31,2,2022-06-01 00:20:50,2022-06-01 00:26:08,1,1.89,1,N,48,249,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5,0
32,2,2022-06-01 00:43:26,2022-06-01 00:52:45,1,1.49,1,N,249,68,1,8,0.5,0.5,2,0,0.3,13.8,2.5,0
33,2,2022-06-01 00:25:28,2022-06-01 00:34:44,1,5.87,1,N,132,63,2,17,0.5,0.5,0,0,0.3,19.55,0,1.25
34,2,2022-06-01 00:15:21,2022-06-01 00:29:59,1,2.89,1,N,238,42,2,12,0.5,0.5,0,0,0.3,13.3,0,0
35,2,2022-06-01 00:35:55,2022-06-01 00:40:22,1,0.83,1,N,142,163,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0
36,1,2022-06-01 00:11:49,2022-06-01 00:49:16,1,0,1,N,242,25,1,47.2,0,0.5,0,6.55,0.3,54.55,0,0
37,2,2022-06-01 00:15:40,2022-06-01 00:24:02,1,0.93,1,N,230,186,2,7,0.5,0.5,0,0,0.3,10.8,2.5,0
38,2,2022-06-01 00:58:45,2022-06-01 01:13:40,1,4.15,1,N,100,75,1,14.5,0.5,0.5,3.66,0,0.3,21.96,2.5,0
39,2,2022-06-01 00:11:10,2022-06-01 00:28:57,1,3.34,1,N,48,79,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5,0
40,2,2022-06-01 00:06:40,2022-06-01 00:25:28,2,4.78,1,N,48,74,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5,0
41,2,2022-06-01 00:10:35,2022-06-01 00:18:45,4,1.44,1,N,239,236,2,8,0.5,0.5,0,0,0.3,11.8,2.5,0
42,2,2022-06-01 00:28:11,2022-06-01 00:39:43,3,2.94,1,N,237,113,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
43,2,2022-06-01 00:37:49,2022-06-01 00:48:01,1,2.46,1,N,237,238,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0
44,1,2022-06-01 00:10:07,2022-06-01 00:33:01,4,10.6,1,N,138,143,1,31,4.25,0.5,10.65,6.55,0.3,53.25,2.5,1.25
45,2,2022-05-31 23:41:42,2022-06-01 00:04:54,1,5.16,1,N,148,37,1,19.5,0.5,0.5,2,0,0.3,25.3,2.5,0
46,2,2022-06-01 00:09:29,2022-06-01 00:19:21,1,2.03,1,N,79,246,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5,0
47,2,2022-06-01 00:41:56,2022-06-01 00:43:26,1,0.49,1,N,163,142,1,3.5,0.5,0.5,1,0,0.3,8.3,2.5,0
48,2,2022-06-01 00:14:03,2022-06-01 00:41:58,1,15.84,1,N,132,145,1,44.5,0.5,0.5,11.45,0,0.3,58.5,0,1.25
49,1,2022-06-01 00:54:47,2022-06-01 01:17:11,1,10.4,1,N,138,161,1,30,3,0.5,12.1,6.55,0.3,52.45,2.5,0
50,2,2022-06-01 00:15:16,2022-06-01 00:37:42,5,5.1,1,N,113,17,1,19.5,0.5,0.5,5.82,0,0.3,29.12,2.5,0
51,2,2022-06-01 00:32:55,2022-06-01 00:53:03,1,10.22,1,N,132,95,1,30,0.5,0.5,9.39,0,0.3,41.94,0,1.25
52,2,2022-06-01 00:46:35,2022-06-01 00:57:31,1,1.86,1,N,237,238,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5,0
53,2,2022-06-01 00:58:29,2022-06-01 01:22:57,2,11.3,1,N,132,82,1,32.5,0.5,0.5,6.76,0,0.3,41.81,0,1.25
